⚫️, V,V, 63
⚫️, V,V, 111
⚫️, V,V, 114
🛑, P,P, 117
⚫️, V,V, 119
🛑, P,P, 121
⚫️, V,V, 123
⚫️, V,V, 125
⚫️, V,V, 127
⚫️, V,V, 131
⚫️, V,V, 135
⚫️, V,V, 138
⚫️, V,V, 140
⚫️, V,V, 141
🛑, P,P, 144
🛑, P,P, 149
⚫️, V,V, 151
🛑, P,P, 153
🛑, P,P, 157
⚫️, V,V, 159
⚫️, V,V, 163
🛑, P,P, 165
🛑, P,P, 166
🛑, P,P, 168
🛑, P,P, 172
🛑, P,P, 173
🛑, P,P, 175
🛑, P,V,P, 184
⚫️, V,V, 186
🛑, P,P, 188
🛑, P,V,P, 190
⚫️, V,V, 193
🛑, P,P, 195
🛑, P,V,P, 197
⚫️, V,V, 200
🛑, P,P, 204
⚫️, V,V, 206
⚫️, V,V, 208
⚫️, V,P,V, 211
⚫️, V,P,V, 214
⚫️, V,P,V, 216
⚫️, V,V, 218
🛑, P,P, 220
🛑, P,P, 224
⚫️, V,V, 226
⚫️, V,V, 228
🛑, P,P, 231
🛑, V,P,P, 234
⚫️, V,V, 238
⚫️, V,V, 241
⚫️, V,P,V, 244
⚫️, V,P,V, 246
🛑, P,P, 249
🛑, P,V,P, 251
⚫️, V,V, 252
🛑, P,P, 254
⚫️, V,V, 256
